x,y,yaw,v
1.519438,8.796694,-3.140363,2
1.269438,8.796386,-3.140363,2
0.989439,8.796042,-3.140363,2
0.729439,8.795722,-3.140363,2
0.459439,8.79539,-3.140363,2
0.149439,8.795009,-3.140363,2
-0.115561,8.794683,-3.140363,2
-0.37056,8.794369,-3.140363,2
-0.67556,8.793994,-3.140363,2
-0.95056,8.793656,-3.140363,2
-1.24556,8.793293,-3.140363,2
-1.48056,8.793004,-3.140363,2
-1.730559,8.792696,-3.140363,2
-2.030559,8.792327,-3.140363,2
-2.290559,8.792007,-3.140363,2
-2.540559,8.7917,-3.140363,2
-2.780559,8.791405,-3.140363,2
-3.035558,8.791091,-3.140363,2
-3.295558,8.790771,-3.140363,2
-3.545558,8.790464,-3.140363,2
-3.785558,8.790168,-3.140363,2
-4.025558,8.789873,-3.140363,2
-4.250557,8.789597,-3.140363,2
-4.470557,8.789326,-3.140363,2
-4.745557,8.788988,-3.140363,2
-5.010557,8.788662,-3.140363,2
-5.265557,8.788348,-3.140363,2
-5.470556,8.788096,-3.140363,2
-5.740556,8.787764,-3.140363,2
-5.985556,8.787462,-3.140363,2
-6.205556,8.787192,-3.140363,2
-6.445556,8.786897,-3.140363,2
-6.670556,8.78662,-3.140363,2
-6.960555,8.786263,-3.140363,2
-7.250555,8.785906,-3.140363,2
-7.480555,8.785624,-3.140363,2
-7.715555,8.785334,-3.140363,2
-7.925555,8.785076,-3.140363,2
-8.205554,8.784732,-3.140363,2
-8.430554,8.784455,-3.140363,2
-8.645554,8.784191,-3.140363,2
-8.855554,8.783932,-3.140363,2
-9.085554,8.783649,-3.140363,2
-9.365554,8.783305,-3.140363,2
-9.615553,8.782997,-3.140363,2
-9.875553,8.782678,-3.140363,2
-10.090553,8.782413,-3.140363,2
-10.360553,8.782081,-3.140363,2
-10.615553,8.781767,-3.140363,2
-10.895552,8.781423,-3.140363,2
-11.150552,8.781109,-3.140363,2
-11.380552,8.780826,-3.140363,2
-11.615552,8.780537,-3.140363,2
-11.835552,8.780267,-3.140363,2
-12.080551,8.779965,-3.140363,2
-12.345551,8.779639,-3.140363,2
-12.575551,8.779357,-3.140363,2
-12.809214,8.758895,-2.944675,2
-13.023501,8.691711,-2.730881,2
-13.23876,8.565735,-2.493333,2
-13.408758,8.404191,-2.270038,2
-13.541043,8.204562,-2.041991,2
-13.629402,7.960739,-1.794941,2
-13.671626,7.648752,-1.684771,2
-13.701764,7.385471,-1.684771,2
-13.729627,7.142061,-1.684771,2
-13.755784,6.913553,-1.684771,2
-13.783648,6.670143,-1.684771,2
-13.809805,6.441635,-1.684771,2
-13.838806,6.188289,-1.684771,2
-13.867806,5.934944,-1.684771,2
-13.895101,5.696501,-1.684771,2
-13.919226,5.437719,-1.616461,2
-13.932008,5.158011,-1.616461,2
-13.945246,4.868313,-1.616461,2
-13.957343,4.60359,-1.616461,2
-13.970353,4.318887,-1.616461,2
-13.981993,4.064152,-1.616461,2
-13.993634,3.809418,-1.616461,2
-14.006872,3.519721,-1.616461,2
-14.019654,3.240012,-1.616461,2
-14.03175,2.975289,-1.616461,2
-14.042706,2.735539,-1.616461,2
-14.053434,2.500784,-1.616461,2
-14.064161,2.266029,-1.616461,2
-14.072352,2.046208,-1.558551,2
-14.048921,1.807519,-1.44363,2
-14.022288,1.599214,-1.44363,2
-13.993753,1.376031,-1.44363,2
-13.964583,1.147888,-1.44363,2
-13.93795,0.939584,-1.44363,2
-13.906278,0.727018,-1.352464,2
-13.817082,0.478223,-1.100662,2
-13.675286,0.267032,-0.858363,2
-13.449688,0.070824,-0.573305,2
-13.187591,-0.051137,-0.297749,2
-12.957128,-0.094528,-0.074453,2
-12.672243,-0.093339,0.021464,2
-12.402305,-0.087544,0.021464,2
-12.142365,-0.081964,0.021464,2
-11.90742,-0.076921,0.021464,2
-11.672474,-0.071877,0.021464,2
-11.402536,-0.066082,0.021464,2
-11.137597,-0.060395,0.021464,2
-10.887654,-0.055029,0.021464,2
-10.622715,-0.049342,0.021464,2
-10.357777,-0.043654,0.021464,2
-10.057846,-0.037215,0.021464,2
-9.807903,-0.03185,0.021464,2
-9.577956,-0.026914,0.021464,2
-9.30302,-0.021011,0.021464,2
-9.018085,-0.014895,0.021464,2
-8.753146,-0.009207,0.021464,2
-8.47821,-0.003305,0.021464,2
-8.233266,0.001953,0.021464,2
-7.978325,0.007426,0.021464,2
-7.733381,0.012684,0.021464,2
-7.493436,0.017835,0.021464,2
-7.208502,0.023952,0.021464,2
-6.943554,0.028135,-0.023955,2
-6.638672,0.01967,-0.027842,2
-6.383771,0.012571,-0.027842,2
-6.12887,0.005472,-0.027842,2
-5.888963,-0.001209,-0.027842,2
-5.609071,-0.009004,-0.027842,2
-5.339176,-0.01652,-0.027842,2
-5.059284,-0.024315,-0.027842,2
-4.779393,-0.032109,-0.027842,2
-4.539486,-0.03879,-0.027842,2
-4.304577,-0.045332,-0.027842,2
-4.03968,-0.05271,-0.027842,2
-3.744794,-0.060922,-0.027842,2
-3.479897,-0.068299,-0.027842,2
-3.23999,-0.07498,-0.027842,2
-2.985088,-0.082079,-0.027842,2
-2.735185,-0.089038,-0.027842,2
-2.470288,-0.096416,-0.027842,2
-2.205391,-0.103793,-0.027842,2
-1.940493,-0.11117,-0.027842,2
-1.695588,-0.11799,-0.027842,2
-1.445685,-0.12495,-0.027842,2
-1.185786,-0.132188,-0.027842,2
-0.910893,-0.139843,-0.027842,2
-0.670986,-0.146524,-0.027842,2
-0.436077,-0.153066,-0.027842,2
-0.216162,-0.159191,-0.027842,2
0,-0.1,0,2
