x,y,yaw,v
1.447266,-0.112286,-0.000715,2.040606
1.467673,-0.112411,-0.001756,2.04083
1.467673,-0.112411,-0.001756,2.04083
1.488082,-0.112542,-0.002625,2.041043
1.488082,-0.112542,-0.002625,2.041043
1.508492,-0.112706,-0.003665,2.041246
1.528905,-0.11285,-0.004241,2.041439
1.528905,-0.11285,-0.004241,2.041439
1.54932,-0.112934,-0.004053,2.041623
1.569737,-0.112993,-0.003688,2.041798
1.569737,-0.112993,-0.003688,2.041798
1.590156,-0.113007,-0.002946,2.041965
1.590156,-0.113007,-0.002946,2.041965
1.610577,-0.113006,-0.002256,2.042124
1.610577,-0.113006,-0.002256,2.042124
1.630999,-0.112965,-0.001322,2.042276
1.651422,-0.112913,-0.000518,2.04242
1.651422,-0.112913,-0.000518,2.04242
1.671847,-0.112826,0.000483,2.04262
1.692274,-0.11273,0.001328,2.042811
1.712703,-0.112599,0.002354,2.042993
1.712703,-0.112599,0.002354,2.042993
1.733133,-0.11246,0.003214,2.043166
1.733133,-0.11246,0.003214,2.043166
1.753565,-0.112288,0.004249,2.04333
1.753565,-0.112288,0.004249,2.04333
1.773998,-0.112108,0.005115,2.043487
1.794432,-0.111896,0.006154,2.043637
1.794432,-0.111896,0.006154,2.043637
1.814868,-0.111676,0.007023,2.043779
1.814868,-0.111676,0.007023,2.043779
1.814868,-0.111676,0.007023,2.043779
1.835305,-0.111424,0.008063,2.043915
1.835305,-0.111424,0.008063,2.043915
1.855743,-0.111165,0.008933,2.044044
1.855743,-0.111165,0.008933,2.044044
1.855743,-0.111165,0.008933,2.044044
1.876182,-0.110872,0.009974,2.044167
1.876182,-0.110872,0.009974,2.044167
1.896623,-0.110574,0.010844,2.044323
1.896623,-0.110574,0.010844,2.044323
1.917064,-0.110242,0.011886,2.044473
1.917064,-0.110242,0.011886,2.044473
1.937507,-0.10993,0.012463,2.044614
1.937507,-0.10993,0.012463,2.044614
1.957952,-0.109678,0.012275,2.04475
1.978399,-0.109451,0.01191,2.044878
1.998848,-0.109269,0.011168,2.045001
2.019298,-0.109103,0.010477,2.045118
2.019298,-0.109103,0.010477,2.045118
2.039749,-0.108975,0.009543,2.045229
2.039749,-0.108975,0.009543,2.045229
2.060201,-0.108859,0.008737,2.045335
2.060201,-0.108859,0.008737,2.045335
2.080655,-0.108778,0.007735,2.045436
2.080655,-0.108778,0.007735,2.045436
2.080655,-0.108778,0.007735,2.045436
2.10111,-0.108706,0.006888,2.045532
2.121566,-0.108669,0.005861,2.045645
2.142023,-0.10864,0.005,2.045752
2.142023,-0.10864,0.005,2.045752
2.162481,-0.108644,0.003963,2.045854
2.162481,-0.108644,0.003963,2.045854
2.162481,-0.108644,0.003963,2.045854
2.18294,-0.108655,0.003096,2.045951
2.18294,-0.108655,0.003096,2.045951
2.2034,-0.1087,0.002056,2.046043
2.2034,-0.1087,0.002056,2.046043
2.22386,-0.108752,0.001186,2.046131
2.22386,-0.108752,0.001186,2.046131
2.22386,-0.108752,0.001186,2.046131
2.244322,-0.108837,0.000144,2.046215
2.264784,-0.108928,-0.000726,2.046295
2.264784,-0.108928,-0.000726,2.046295
2.285247,-0.109052,-0.001769,2.046371
2.285247,-0.109052,-0.001769,2.046371
2.305711,-0.109183,-0.00264,2.046534
2.305711,-0.109183,-0.00264,2.046534
2.326177,-0.109347,-0.003683,2.046689
2.326177,-0.109347,-0.003683,2.046689
2.326177,-0.109347,-0.003683,2.046689
2.346644,-0.109517,-0.004554,2.046836
2.367112,-0.10972,-0.005598,2.046977
2.367112,-0.10972,-0.005598,2.046977
2.367112,-0.10972,-0.005598,2.046977
2.387581,-0.109929,-0.006469,2.047111
2.387581,-0.109929,-0.006469,2.047111
2.408051,-0.110172,-0.007513,2.047238
2.408051,-0.110172,-0.007513,2.047238
2.408051,-0.110172,-0.007513,2.047238
2.428523,-0.110421,-0.008385,2.04736
2.428523,-0.110421,-0.008385,2.04736
2.448995,-0.110702,-0.009428,2.047475
2.448995,-0.110702,-0.009428,2.047475
2.469468,-0.11099,-0.0103,2.047585
2.489931,-0.111311,-0.011346,2.045362
2.510373,-0.111638,-0.012219,2.043562
2.530798,-0.111998,-0.013265,2.042104
2.530798,-0.111998,-0.013265,2.042104
2.55121,-0.112337,-0.013843,2.040923
2.55121,-0.112337,-0.013843,2.040923
2.571613,-0.112616,-0.013652,2.039967
2.571613,-0.112616,-0.013652,2.039967
2.571613,-0.112616,-0.013652,2.039967
